date,district,division,lat,lon,temp_c,humidity,wind_speed,clouds,aqi,pm2_5,o3,no2,so2,co
2025-08-10,Bagerhat,Khulna,22.655478,89.794181,30.96,68,4.05,100,1,1.45,40.24,0.13,0.17,98.42
2025-08-10,Bandarban,Chattogram,21.787476,92.412475,30.47,73,1.01,98,1,0.9,30.53,0.03,0.02,79.08
2025-08-10,Barguna,Barishal,22.131336,90.117243,31.65,67,5.59,94,1,1.15,33.32,0.03,0.11,85.85
2025-08-10,Barishal,Barishal,22.493403,90.354801,32.51,59,4.9,100,1,1.04,34.61,0.04,0.08,86.42
2025-08-10,Bhola,Barishal,22.143569,90.790409,29.45,77,4.73,100,1,0.52,31.88,0.02,0.03,82.48
2025-08-10,Bogura,Rajshahi,24.850066,89.372843,34.32,55,4.18,75,3,30.98,71.42,7.88,10.1,296.52
2025-08-10,Brahmanbaria,Chattogram,23.9606,91.119089,33.06,66,5.14,75,1,1.17,31.88,1.07,0.44,108.5
2025-08-10,Chandpur,Chattogram,23.224176,90.6531,32.63,60,4.38,98,1,0.67,33.0,0.29,0.24,88.4
2025-08-10,Chapai Nawabganj,Rajshahi,24.599887,88.285047,34.99,50,4.0,81,3,26.17,80.12,6.6,12.99,291.96
2025-08-10,Chattogram,Chattogram,22.333778,91.834435,31.93,66,4.12,40,1,0.6,28.72,0.02,0.02,79.72
2025-08-10,Chuadanga,Khulna,23.643661,88.846448,32.3,68,4.66,100,2,12.26,58.66,8.31,11.64,257.2
2025-08-10,Cox's Bazar,Chattogram,21.176647,92.003505,28.77,79,4.63,74,1,0.56,30.1,0.02,0.02,81.94
2025-08-10,Cumilla,Chattogram,23.461061,91.180875,31.67,66,4.3,95,1,0.9,31.8,0.56,0.25,96.99
2025-08-10,Dhaka,Dhaka,23.764386,90.389014,31.98,66,3.6,75,1,1.53,41.04,1.56,1.24,118.33
2025-08-10,Dinajpur,Rangpur,25.626071,88.634623,34.02,56,3.23,100,3,38.21,61.04,11.9,14.35,346.4
2025-08-10,Faridpur,Dhaka,23.604018,89.841554,32.16,65,4.25,100,1,2.87,46.45,3.18,3.3,146.04
2025-08-10,Feni,Chattogram,23.01276,91.404923,30.96,69,4.75,100,1,0.79,31.08,0.21,0.09,88.05
2025-08-10,Gaibandha,Rangpur,25.086001,89.869644,32.7,63,4.69,62,2,16.71,63.75,5.78,3.8,236.97
2025-08-10,Gazipur,Dhaka,23.999756,90.417363,32.01,66,3.6,75,1,1.45,39.15,1.73,1.07,119.78
2025-08-10,Gopalganj,Dhaka,23.004994,89.830318,32.08,63,4.65,100,1,1.38,39.61,1.04,1.44,106.29
2025-08-10,Habiganj,Sylhet,24.374603,91.414027,31.75,67,3.86,95,1,1.43,34.44,1.32,1.09,113.15
2025-08-10,Jamalpur,Mymensingh,24.925587,89.943668,32.84,61,4.76,81,2,14.51,65.12,5.33,3.77,228.46
2025-08-10,Jashore,Khulna,23.166526,89.209442,32.01,68,4.74,100,1,2.73,48.2,2.17,3.11,136.27
2025-08-10,Jhalokathi,Barishal,22.56239,90.174282,32.47,59,4.79,100,1,1.23,35.62,0.05,0.1,88.23
2025-08-10,Jhenaidah,Khulna,23.544696,89.173194,31.57,71,4.58,100,1,6.96,54.76,5.34,7.26,197.61
2025-08-10,Joypurhat,Rajshahi,25.111402,88.98842,33.35,60,4.3,83,4,51.2,64.9,10.84,19.5,350.23
2025-08-10,Khagrachhari,Chattogram,23.1078,91.988996,30.66,70,2.36,100,1,0.84,31.55,0.21,0.08,83.44
2025-08-10,Khulna,Khulna,22.937209,89.285274,32.21,66,4.75,100,1,2.35,47.36,1.2,1.69,123.05
2025-08-10,Kishoreganj,Dhaka,24.433982,90.785723,33.14,59,3.87,96,1,2.76,48.65,1.93,0.7,138.59
2025-08-10,Kurigram,Rangpur,25.813013,89.643052,32.02,67,4.1,69,2,19.23,54.72,9.32,6.07,277.89
2025-08-10,Kushtia,Khulna,23.898795,89.129554,31.93,69,4.72,88,2,12.69,57.14,9.67,12.71,269.39
2025-08-10,Lakshmipur,Chattogram,22.944537,90.827635,32.21,63,5.18,96,1,0.7,32.17,0.12,0.09,85.85
2025-08-10,Lalmonirhat,Rangpur,25.916351,89.446139,32.82,63,3.72,89,2,22.26,51.11,11.34,8.16,297.52
2025-08-10,Madaripur,Dhaka,23.167518,90.204727,31.7,68,3.36,100,1,0.97,36.06,0.4,0.47,93.21
2025-08-10,Magura,Khulna,23.488077,89.420182,31.55,70,4.86,100,1,3.55,47.51,4.51,5.6,161.67
2025-08-10,Manikganj,Dhaka,23.832984,89.966688,32.69,61,5.43,100,1,3.61,49.59,4.02,3.91,162.84
2025-08-10,Meherpur,Khulna,23.781785,88.636937,32.27,67,4.95,96,2,14.02,64.07,6.44,8.53,251.55
2025-08-10,Moulvibazar,Sylhet,24.488082,91.763018,31.63,69,4.17,84,1,1.47,33.7,1.41,1.1,114.68
2025-08-10,Munshiganj,Dhaka,23.54838,90.534972,33.06,57,4.61,100,1,1.01,36.16,0.87,0.66,101.46
2025-08-10,Mymensingh,Mymensingh,24.888931,90.384519,32.32,63,3.36,93,1,7.29,58.57,3.76,1.65,185.43
2025-08-10,Naogaon,Rajshahi,24.807323,88.944545,33.99,58,4.51,55,3,42.24,69.74,9.36,15.9,328.53
